time,user,is_bot,title,length_diff,editor_type,category
2026-01-28 20:29:40,Escarbot,true,Q115125151,9,BOT,ARTYKUŁ
2026-01-28 20:29:41,MidleadingBot,true,Q66238642,719,BOT,ARTYKUŁ
2026-01-28 20:29:42,BrazilianDude70,false,Template:Liga 1 (Peru) managers,-15,HUMAN,ARTYKUŁ
2026-01-28 20:29:42,RVA2869,false,Q3840172,-397,HUMAN,ARTYKUŁ
2026-01-28 20:29:43,RVA2869,false,Q3767445,-397,HUMAN,ARTYKUŁ
2026-01-28 20:29:44,RossEvans19,false,Talk:The Building (TV series),5,HUMAN,DYSKUSJA
2026-01-28 20:29:44,Rkieferbot,true,File:Kirche Unterdürnbach Kommunionbank.jpg,35,BOT,ARTYKUŁ
2026-01-28 20:29:45,SchlurcherBot,true,СаПКо,1,BOT,ARTYKUŁ
2026-01-28 20:29:46,Sarefo,false,Q27464413,347,HUMAN,ARTYKUŁ
2026-01-28 20:29:46,Escarbot,true,Q115125453,1,BOT,ARTYKUŁ
2026-01-28 20:29:47,SchlurcherBot,true,File:Adibuzz AKAP Setra Jetbus2+.jpg,5603,BOT,ARTYKUŁ
2026-01-28 20:29:49,Mahir256,false,Lexeme:L26063,347,HUMAN,ARTYKUŁ
2026-01-28 20:29:49,EmausBot,true,Санта Ана (Гвачочи),-43,BOT,ARTYKUŁ
2026-01-28 20:29:49,SchlurcherBot,true,File:Vue de face du bâtiment voyageurs de la gare de Manosque-Gréoux-les-Bains.jpg,4431,BOT,ARTYKUŁ
2026-01-28 20:29:41,SchlurcherBot,true,File:Дача Филибера (2016).jpg,2375,BOT,ARTYKUŁ
2026-01-28 20:29:41,SchlurcherBot,true,File:NMM3 TV Entertainment Png.png,2097,BOT,ARTYKUŁ
2026-01-28 20:29:42,MsynBot,true,Q4403804,20,BOT,ARTYKUŁ
2026-01-28 20:29:43,DOPBot,true,File:Dop20rgbi 32 498 5872 2 ni 2012-05-24.tif,1937,BOT,ARTYKUŁ
2026-01-28 20:29:43,Emijrpbot,true,File:Sagada road (3303292300).jpg,352,BOT,ARTYKUŁ
2026-01-28 20:29:44,Lord Stamfordham,false,Massaker von Babyn Jar,21,HUMAN,ARTYKUŁ
2026-01-28 20:29:44,RVA2869,false,Q3742122,-397,HUMAN,ARTYKUŁ
2026-01-28 20:29:45,PericlesofAthens,false,Pagoda,4,HUMAN,ARTYKUŁ
2026-01-28 20:29:46,G.dallorto,false,File:Domenico Terradellas - Sesostri re d'Egitto - drama per musica da rappresentarsi in Roma nel Teatro delle Dame nel carnevale dell'anno MDCCLI - dedicato alle dame (IA sesostriredegitt245pari).pdf,-2,HUMAN,ARTYKUŁ
2026-01-28 20:29:46,SchlurcherBot,true,"File:Туполев Ту-204-214 1450744464038, Москва - Внуково RP8871.jpg",2022,BOT,ARTYKUŁ
2026-01-28 20:29:47,Emijrpbot,true,File:Mapillary (hede) 2023-04-05 15H47M53S595 (1169209990446309 at xWVDhdpr13F2vESmwZlAnU with iPhone 11).jpg,353,BOT,ARTYKUŁ
2026-01-28 20:29:49,~2026-61564-6,false,Talk:Chocolate,130,HUMAN,DYSKUSJA
2026-01-28 20:29:49,SchlurcherBot,true,File:M 4512202 nw 10 060 20200719.tif,353,BOT,ARTYKUŁ
2026-01-28 20:29:49,Citation bot,true,Embarrassment,119,BOT,ARTYKUŁ
2026-01-28 20:29:41,KiranBOT,true,美國恐怖故事：啟示錄,-3,BOT,ARTYKUŁ
2026-01-28 20:29:41,Fuxx,false,Aleocharinae,4,HUMAN,ARTYKUŁ
2026-01-28 20:29:42,ListeriaBot,true,Amanita winau,389,BOT,ARTYKUŁ
2026-01-28 20:29:43,RVA2869,false,Q3856524,-397,HUMAN,ARTYKUŁ
2026-01-28 20:29:43,SchlurcherBot,true,"File:STORE, FIRST FLOOR, FROM SOUTHEAST - John Hall House, 327 South Third Street, Philadelphia, Philadelphia County, PA HABS PA,51-PHILA,638-3.tif",2376,BOT,ARTYKUŁ
2026-01-28 20:29:44,Ikeshut2,false,User:Ikeshut2/sandbox2,490,HUMAN,ARTYKUŁ
2026-01-28 20:29:44,Leospektor,false,Википедия:К удалению/2 июня 2023,597,HUMAN,ARTYKUŁ
2026-01-28 20:29:45,Bennylin,false,Daftar Dewa-Dewi Indonesia,35,HUMAN,ARTYKUŁ
2026-01-28 20:29:46,MarbleGarden,false,"File:Horadnia, Brygicki. Горадня, Брыгіцкі (1920).jpg",29,HUMAN,ARTYKUŁ
2026-01-28 20:29:46,Herranderssvensson,false,Q1862355,103,HUMAN,ARTYKUŁ
2026-01-28 20:29:47,Bluehawkking,false,Charles Victor Thompson,33,HUMAN,ARTYKUŁ
2026-01-28 20:29:49,Rkieferbot,true,File:Suusamyr Valley (3968060227).jpg,44,BOT,ARTYKUŁ
2026-01-28 20:29:49,Marcel Douwe Dekker,false,"Category:Parallelstraat, Rotterdam",40,HUMAN,KATEGORIA
2026-01-28 20:29:49,Әмир,false,Q137920291,117,HUMAN,ARTYKUŁ
2026-01-28 20:29:41,Rkieferbot,true,File:Kirche Unterdürnbach Taufbecken.jpg,35,BOT,ARTYKUŁ
2026-01-28 20:29:41,Natalia KT,false,Azione Wagner-Bürckel,-325,HUMAN,ARTYKUŁ
2026-01-28 20:29:42,MidleadingBot,true,Q66238643,719,BOT,ARTYKUŁ
2026-01-28 20:29:43,AnomieBOT,false,User:AnomieBOT/EPERTable,980,HUMAN,ARTYKUŁ
2026-01-28 20:29:43,~2026-61897-9,false,María Ospina Pizano,-4,HUMAN,ARTYKUŁ
2026-01-28 20:29:44,Nanahuatl,false,Scapaniaceae,0,HUMAN,ARTYKUŁ
2026-01-28 20:29:45,Mewa767,false,File:Postkarte des Tübinger Wingolfs mit Wappen R.jpg,8,HUMAN,ARTYKUŁ
2026-01-28 20:29:45,OpalYosutebito,false,Athula Sumathipala,-15,HUMAN,ARTYKUŁ
2026-01-28 20:29:46,MidleadingBot,true,Q66238647,719,BOT,ARTYKUŁ
2026-01-28 20:29:46,Kalendar,false,Baccara,4612,HUMAN,ARTYKUŁ
2026-01-28 20:29:47,RVA2869,false,Q3840197,-397,HUMAN,ARTYKUŁ
2026-01-28 20:29:49,Mr buick,false,Categoria:Pieve Torina,21,HUMAN,ARTYKUŁ
