start_time,end_time,title,total_edits,unique_users,batch_id
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Q139695483,10,2,62
2026-05-07T17:55:00.000+02:00,2026-05-07T18:00:00.000+02:00,Q139695483,10,2,62
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Q139695483,9,1,62
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Q139695487,7,1,62
2026-05-07T17:55:00.000+02:00,2026-05-07T18:00:00.000+02:00,Q139695487,7,1,62
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Q139695487,7,1,62
2026-05-07T17:55:00.000+02:00,2026-05-07T18:00:00.000+02:00,Q22101249,6,1,62
2026-05-07T17:57:00.000+02:00,2026-05-07T18:02:00.000+02:00,Q7595787,4,1,62
2026-05-07T17:58:00.000+02:00,2026-05-07T18:03:00.000+02:00,Q139695487,4,1,62
2026-05-07T17:55:00.000+02:00,2026-05-07T18:00:00.000+02:00,Q139695479,4,1,62
2026-05-07T17:59:00.000+02:00,2026-05-07T18:04:00.000+02:00,Q7595787,4,1,62
2026-05-07T17:58:00.000+02:00,2026-05-07T18:03:00.000+02:00,Q7595787,4,1,62
2026-05-07T17:56:00.000+02:00,2026-05-07T18:01:00.000+02:00,Q7595787,4,1,62
2026-05-07T17:55:00.000+02:00,2026-05-07T18:00:00.000+02:00,Q7595787,4,1,62
