start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,batch_id
2026-05-07T20:52:00.000+02:00,2026-05-07T20:57:00.000+02:00,Ергенът 2026,5,2,"~2026-25485-41, Nightname1","",12900716,321
2026-05-07T20:50:00.000+02:00,2026-05-07T20:55:00.000+02:00,Thomas Arne,5,4,"~2026-27809-99, TonySt, Tessaract2, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-27809-99|~2026-27809-99]] to version by TonySt. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4511172) (Bot)",1353029264,321
2026-05-07T20:50:00.000+02:00,2026-05-07T20:55:00.000+02:00,Ергенът 2026,5,2,"~2026-25485-41, Nightname1","",12900716,321
2026-05-07T20:51:00.000+02:00,2026-05-07T20:56:00.000+02:00,Ергенът 2026,5,2,"~2026-25485-41, Nightname1","",12900716,321
2026-05-07T20:51:00.000+02:00,2026-05-07T20:56:00.000+02:00,Thomas Arne,4,3,"~2026-27809-99, TonySt, ClueBot NG","Reverting possible vandalism by [[Special:Contribs/~2026-27809-99|~2026-27809-99]] to version by TonySt. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4511172) (Bot)",1353029264,321
2026-05-07T20:51:00.000+02:00,2026-05-07T20:56:00.000+02:00,User talk:~2026-27809-99,4,3,"TonySt, CharterTheGoob, ClueBot NG",Warning [[Special:Contributions/~2026-27809-99|~2026-27809-99]] - #3,1353029265,321
2026-05-07T20:53:00.000+02:00,2026-05-07T20:58:00.000+02:00,Ергенът 2026,4,2,"~2026-25485-41, Nightname1","",12900716,321
2026-05-07T20:50:00.000+02:00,2026-05-07T20:55:00.000+02:00,2026 Italian Open – Men's singles,4,3,"Asahani123, WildCherry06, ~2026-27815-02",/* Seeded players */,1353029253,321
2026-05-07T20:50:00.000+02:00,2026-05-07T20:55:00.000+02:00,"Matilda Simon, 3rd Baroness Simon of Wythenshawe",4,2,"~2026-27704-87, TonySt",/* */ Birth name fix,1353029274,321
2026-05-07T20:50:00.000+02:00,2026-05-07T20:55:00.000+02:00,User talk:~2026-27809-99,4,3,"TonySt, CharterTheGoob, ClueBot NG",Warning [[Special:Contributions/~2026-27809-99|~2026-27809-99]] - #3,1353029265,321
2026-05-07T20:52:00.000+02:00,2026-05-07T20:57:00.000+02:00,User talk:~2026-27809-99,4,3,"TonySt, CharterTheGoob, ClueBot NG",Warning [[Special:Contributions/~2026-27809-99|~2026-27809-99]] - #3,1353029265,321
