start_time,end_time,title,total_edits,unique_users,combatants,latest_comment,latest_revision,reverts_count,batch_id
2026-05-28T21:23:00.000+02:00,2026-05-28T21:28:00.000+02:00,Tupi people,4,2,"Codename Noreste, Bernardosantana12134",Reverted edits by [[Special:Contribs/Bernardosantana12134|Bernardosantana12134]] ([[User talk:Bernardosantana12134|talk]]) ([[:en:WP:WikiShield|WS]]),1356601359,2,120
2026-05-28T21:24:00.000+02:00,2026-05-28T21:29:00.000+02:00,Tupi people,4,2,"Codename Noreste, Bernardosantana12134",Reverted edits by [[Special:Contribs/Bernardosantana12134|Bernardosantana12134]] ([[User talk:Bernardosantana12134|talk]]) ([[:en:WP:WikiShield|WS]]),1356601359,2,120
2026-05-28T21:23:00.000+02:00,2026-05-28T21:28:00.000+02:00,Ella Bright,2,2,"Codename Noreste, ~2026-31922-96",Reverted edits by [[Special:Contribs/~2026-31922-96|~2026-31922-96]] ([[User talk:~2026-31922-96|talk]]): unexplained deletion ([[:en:WP:WikiShield|WS]]),1356601374,1,120
2026-05-28T21:25:00.000+02:00,2026-05-28T21:30:00.000+02:00,Ella Bright,2,2,"Codename Noreste, ~2026-31922-96",Reverted edits by [[Special:Contribs/~2026-31922-96|~2026-31922-96]] ([[User talk:~2026-31922-96|talk]]): unexplained deletion ([[:en:WP:WikiShield|WS]]),1356601374,1,120
2026-05-28T21:26:00.000+02:00,2026-05-28T21:31:00.000+02:00,Ella Bright,2,2,"Codename Noreste, ~2026-31922-96",Reverted edits by [[Special:Contribs/~2026-31922-96|~2026-31922-96]] ([[User talk:~2026-31922-96|talk]]): unexplained deletion ([[:en:WP:WikiShield|WS]]),1356601374,1,120
2026-05-28T21:26:00.000+02:00,2026-05-28T21:31:00.000+02:00,Tupi people,2,2,"Codename Noreste, Bernardosantana12134",Reverted edits by [[Special:Contribs/Bernardosantana12134|Bernardosantana12134]] ([[User talk:Bernardosantana12134|talk]]) ([[:en:WP:WikiShield|WS]]),1356601359,1,120
2026-05-28T21:27:00.000+02:00,2026-05-28T21:32:00.000+02:00,Ella Bright,2,2,"Codename Noreste, ~2026-31922-96",Reverted edits by [[Special:Contribs/~2026-31922-96|~2026-31922-96]] ([[User talk:~2026-31922-96|talk]]): unexplained deletion ([[:en:WP:WikiShield|WS]]),1356601374,1,120
2026-05-28T21:24:00.000+02:00,2026-05-28T21:29:00.000+02:00,Ella Bright,2,2,"Codename Noreste, ~2026-31922-96",Reverted edits by [[Special:Contribs/~2026-31922-96|~2026-31922-96]] ([[User talk:~2026-31922-96|talk]]): unexplained deletion ([[:en:WP:WikiShield|WS]]),1356601374,1,120
2026-05-28T21:25:00.000+02:00,2026-05-28T21:30:00.000+02:00,Tupi people,2,2,"Codename Noreste, Bernardosantana12134",Reverted edits by [[Special:Contribs/Bernardosantana12134|Bernardosantana12134]] ([[User talk:Bernardosantana12134|talk]]) ([[:en:WP:WikiShield|WS]]),1356601359,1,120
2026-05-28T21:27:00.000+02:00,2026-05-28T21:32:00.000+02:00,Tupi people,2,2,"Codename Noreste, Bernardosantana12134",Reverted edits by [[Special:Contribs/Bernardosantana12134|Bernardosantana12134]] ([[User talk:Bernardosantana12134|talk]]) ([[:en:WP:WikiShield|WS]]),1356601359,1,120
