start_time,end_time,topic,article_count,total_edits,sample_titles,batch_id
2026-05-28T19:46:00.000+02:00,2026-05-28T19:51:00.000+02:00,File:EXTRA,11,11,File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 5).jpg | File:EXTRA - DPLA - 0c723f02623c5c4207ab196f5041f870.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 1).jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 4).jpg | File:EXTRA - DPLA - 11df48b9ec8197fb62d90f173821e51a.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 3).jpg | File:EXTRA - DPLA - 24e031b3f2e404088f4ddabcbe42c012.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 2).jpg | File:EXTRA - DPLA - 2624fa0ee765e6d7ddff550d7869f35e.jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 2).jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 6).jpg,17
2026-05-28T19:44:00.000+02:00,2026-05-28T19:49:00.000+02:00,File:EXTRA,11,11,File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 5).jpg | File:EXTRA - DPLA - 0c723f02623c5c4207ab196f5041f870.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 1).jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 4).jpg | File:EXTRA - DPLA - 11df48b9ec8197fb62d90f173821e51a.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 3).jpg | File:EXTRA - DPLA - 24e031b3f2e404088f4ddabcbe42c012.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 2).jpg | File:EXTRA - DPLA - 2624fa0ee765e6d7ddff550d7869f35e.jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 2).jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 6).jpg,17
2026-05-28T19:47:00.000+02:00,2026-05-28T19:52:00.000+02:00,File:EXTRA,11,11,File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 5).jpg | File:EXTRA - DPLA - 0c723f02623c5c4207ab196f5041f870.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 1).jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 4).jpg | File:EXTRA - DPLA - 11df48b9ec8197fb62d90f173821e51a.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 3).jpg | File:EXTRA - DPLA - 24e031b3f2e404088f4ddabcbe42c012.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 2).jpg | File:EXTRA - DPLA - 2624fa0ee765e6d7ddff550d7869f35e.jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 2).jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 6).jpg,17
2026-05-28T19:45:00.000+02:00,2026-05-28T19:50:00.000+02:00,File:EXTRA,11,11,File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 5).jpg | File:EXTRA - DPLA - 0c723f02623c5c4207ab196f5041f870.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 1).jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 4).jpg | File:EXTRA - DPLA - 11df48b9ec8197fb62d90f173821e51a.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 3).jpg | File:EXTRA - DPLA - 24e031b3f2e404088f4ddabcbe42c012.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 2).jpg | File:EXTRA - DPLA - 2624fa0ee765e6d7ddff550d7869f35e.jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 2).jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 6).jpg,17
2026-05-28T19:43:00.000+02:00,2026-05-28T19:48:00.000+02:00,File:EXTRA,11,11,File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 5).jpg | File:EXTRA - DPLA - 0c723f02623c5c4207ab196f5041f870.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 1).jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 4).jpg | File:EXTRA - DPLA - 11df48b9ec8197fb62d90f173821e51a.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 3).jpg | File:EXTRA - DPLA - 24e031b3f2e404088f4ddabcbe42c012.jpg | File:EXTRA - DPLA - 1a123b0bf26cfebbf8ddb15374c7b54a (page 2).jpg | File:EXTRA - DPLA - 2624fa0ee765e6d7ddff550d7869f35e.jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 2).jpg | File:EXTRA - DPLA - 1234642a54ef33e6937039487775c890 (page 6).jpg,17
2026-05-28T19:45:00.000+02:00,2026-05-28T19:50:00.000+02:00,2007,7,7,"2007 Croatian parliamentary election | 2007 in French television | 2007 Cheshire, Connecticut murders | 2007 Boston Mooninite panic | 2007 Chittagong mudslides | 2007 Boston Red Sox season | 2007 Boston City Council election",17
2026-05-28T19:44:00.000+02:00,2026-05-28T19:49:00.000+02:00,2007,7,7,"2007 Croatian parliamentary election | 2007 in French television | 2007 Cheshire, Connecticut murders | 2007 Boston Mooninite panic | 2007 Chittagong mudslides | 2007 Boston Red Sox season | 2007 Boston City Council election",17
2026-05-28T19:43:00.000+02:00,2026-05-28T19:48:00.000+02:00,2007,7,7,"2007 Croatian parliamentary election | 2007 in French television | 2007 Cheshire, Connecticut murders | 2007 Boston Mooninite panic | 2007 Chittagong mudslides | 2007 Boston Red Sox season | 2007 Boston City Council election",17
2026-05-28T19:46:00.000+02:00,2026-05-28T19:51:00.000+02:00,2007,7,7,"2007 Croatian parliamentary election | 2007 in French television | 2007 Cheshire, Connecticut murders | 2007 Boston Mooninite panic | 2007 Chittagong mudslides | 2007 Boston Red Sox season | 2007 Boston City Council election",17
2026-05-28T19:45:00.000+02:00,2026-05-28T19:50:00.000+02:00,File:1498,6,6,File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 26).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 31).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 27).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 29).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 32).jpg | File:1498 Pueblo Land Board Reports on Sandia Pueblo January 16 1928 (1 of 2) - DPLA - 82673a8e08436030125a526f683bcedf (page 28).jpg,17
